Festival_Year,Artist_Name
roskilde-festival-1975,hvals-spillem-ndene
roskilde-festival-1975,peter-craig
roskilde-festival-1975,program-3
roskilde-festival-1975,troldmandens-l-rling
roskilde-festival-1976,dr-hook
roskilde-festival-1976,coma
roskilde-festival-1976,gnags
roskilde-festival-1976,peter-krog-ole-andreasen
roskilde-festival-1976,new-orleans-workshop
roskilde-festival-1976,mcewans-export
roskilde-festival-1976,lirum-larum
roskilde-festival-1976,jens-folkesanger-inge-else
roskilde-festival-1976,haster-show-band
roskilde-festival-1976,happy-haggis
roskilde-festival-1976,the-american-folk-band-m-spider-john-koerner
roskilde-festival-1976,papa-bue-viking-jazz-band-m-bjarne-liller
roskilde-festival-1976,tequila
roskilde-festival-1976,weather-report
roskilde-festival-1976,steeleye-span
roskilde-festival-1976,alan-stivell
roskilde-festival-1976,jesse-winchester
roskilde-festival-1976,bifrost
roskilde-festival-1976,magma
roskilde-festival-1976,tramp
roskilde-festival-1976,buffalo
roskilde-festival-1976,wigwam
roskilde-festival-1976,andrew-john
roskilde-festival-1976,mosaik
roskilde-festival-1976,baker-gurvitz-army
roskilde-festival-1976,mainact
roskilde-festival-1976,culpeper
roskilde-festival-1976,buki-yamaz
roskilde-festival-1976,patria
roskilde-festival-1976,ache
roskilde-festival-1976,five-hand-reel
roskilde-festival-1976,paul-banks-bill-hazen
roskilde-festival-1976,spillem-ndene
roskilde-festival-1976,mike-whellans
roskilde-festival-1976,r-de-mor
roskilde-festival-1976,hot-lips
roskilde-festival-1976,hvals-spillem-ndene
roskilde-festival-1977,chuck-berry
roskilde-festival-1977,ange
roskilde-festival-1977,the-chieftains
roskilde-festival-1977,skousen-ingemann-stig-m-ller-band
roskilde-festival-1977,new-orleans-workshop
roskilde-festival-1977,jens-folkesanger-inge-else
roskilde-festival-1977,himmelekspressen
roskilde-festival-1977,haster-show-band
roskilde-festival-1977,tom-luke-band
roskilde-festival-1977,lasse-helner-mathilde
roskilde-festival-1977,djurslandspillem-ndene
roskilde-festival-1977,troels-trier-band
roskilde-festival-1977,gnags
roskilde-festival-1977,dr-feelgood
roskilde-festival-1977,john-miles
roskilde-festival-1977,c-v-j-rgensen
roskilde-festival-1977,paul-banks
roskilde-festival-1977,bifrost
roskilde-festival-1977,egba
roskilde-festival-1977,buffalo
roskilde-festival-1977,entrance
roskilde-festival-1977,pia-raug
roskilde-festival-1977,andrew-john
roskilde-festival-1977,ian-gillan-band
roskilde-festival-1977,vin-garbutt
roskilde-festival-1977,jomfru-ane-band
roskilde-festival-1977,culpeper
roskilde-festival-1977,buki-yamaz
roskilde-festival-1977,nana-banana
roskilde-festival-1977,alkatraz
roskilde-festival-1977,the-jack-bruce-band
roskilde-festival-1977,caracas
roskilde-festival-1977,blue-sun
roskilde-festival-1977,birds-of-beauty
roskilde-festival-1977,heavy-joker
roskilde-festival-1977,hos-anna
roskilde-festival-1977,the-ian-campbell-folk-group
roskilde-festival-1977,kr-lle-erik
roskilde-festival-1977,hot-lips
roskilde-festival-1977,mike-whellans
roskilde-festival-1978,bob-marley-the-wailers
roskilde-festival-1978,elvis-costello
roskilde-festival-1978,rory-gallagher
roskilde-festival-1978,coma
roskilde-festival-1978,charlatangruppen
roskilde-festival-1978,witchdoctor-s-son
roskilde-festival-1978,tom-nagel-rasmussen-band
roskilde-festival-1978,terndrup-byorkester
roskilde-festival-1978,s-ren-kragh-jacobsen-biorytmer
roskilde-festival-1978,pfur-gorps-kniri
roskilde-festival-1978,lone-kellerman-rockbandet
roskilde-festival-1978,bj-rn-afzelius-band
roskilde-festival-1978,lasse-helner-mathilde
roskilde-festival-1978,mcewans-export
roskilde-festival-1978,papa-bue-viking-jazz-band-m-bjarne-liller
roskilde-festival-1978,shit-chanel
roskilde-festival-1978,gnags
roskilde-festival-1978,c-v-j-rgensen
roskilde-festival-1978,dave-swarbrick
roskilde-festival-1978,povl-dissing
roskilde-festival-1978,sbb
roskilde-festival-1978,pia-raug
roskilde-festival-1978,masaladosa
roskilde-festival-1978,andrew-john
roskilde-festival-1978,culpeper
roskilde-festival-1978,bazaar
roskilde-festival-1978,ar-folk
roskilde-festival-1978,wasa-express
roskilde-festival-1978,ruphus
roskilde-festival-1978,hawk-on-flight
roskilde-festival-1978,five-hand-reel
roskilde-festival-1978,ache
roskilde-festival-1978,kr-n-bysted-s
roskilde-festival-1978,skilfinger
roskilde-festival-1978,cox-orange
roskilde-festival-1978,pakhus-1
roskilde-festival-1978,van-dango
roskilde-festival-1978,happy-traum
roskilde-festival-1978,hvals-spillem-ndene
roskilde-festival-1978,s-sterrock
roskilde-festival-1978,sebastian-group
roskilde-festival-1978,thorups-trio
roskilde-festival-1978,jukka-tolonen-band
roskilde-festival-1978,dronningens-livstykke
roskilde-festival-1978,mike-whellans
roskilde-festival-1978,big-joe-band
roskilde-festival-1978,kr-lle-erik
roskilde-festival-1978,hot-lips
roskilde-festival-1979,dire-straits
roskilde-festival-1979,peter-tosh
roskilde-festival-1979,taj-mahal
roskilde-festival-1979,buki-yamaz-debbie-cameron
roskilde-festival-1979,paul-banks-j-rgen-lang
roskilde-festival-1979,instant-breakfast
roskilde-festival-1979,peps-bloods-band
roskilde-festival-1979,hexehyl-big-band
roskilde-festival-1979,eders-band
roskilde-festival-1979,delta
roskilde-festival-1979,de-3-m-ske-4
roskilde-festival-1979,ram-sa-kv-llar
roskilde-festival-1979,dollar-brand-his-african-orchestra
roskilde-festival-1979,spillem-ndene-fra-h-ydal
roskilde-festival-1979,shit-chanel
roskilde-festival-1979,haster-show-band
roskilde-festival-1979,skousen-ingemann-stig-m-ller-band
roskilde-festival-1979,skrotbandet
roskilde-festival-1979,ralph-mctell
roskilde-festival-1979,lindisfarne
roskilde-festival-1979,tania-maria
roskilde-festival-1979,tom-robinson-band
roskilde-festival-1979,kasper-winding
roskilde-festival-1979,mccalmans
roskilde-festival-1979,janne-schaffer
roskilde-festival-1979,flandert
roskilde-festival-1979,nynningen
roskilde-festival-1979,vin-garbutt
roskilde-festival-1979,jomfru-ane-band
roskilde-festival-1979,kieran-halpin
roskilde-festival-1979,jim-page
roskilde-festival-1979,veslefrikk
roskilde-festival-1979,skilfinger
roskilde-festival-1979,kornet
roskilde-festival-1979,sylvester-svalerne
roskilde-festival-1979,hyldemor
roskilde-festival-1979,skunk-funk
roskilde-festival-1979,mixed-media
roskilde-festival-1979,matao
roskilde-festival-1979,radioens-big-band
roskilde-festival-1979,ole-berthelsen
roskilde-festival-1979,van-dango
roskilde-festival-1979,strube-band
roskilde-festival-1979,mike-whellans
roskilde-festival-1979,hvals-spillem-ndene
roskilde-festival-1980,oasis
roskilde-festival-1980,santana
roskilde-festival-1980,moto
roskilde-festival-1980,gylle
roskilde-festival-1980,steel-pulse
roskilde-festival-1980,cornelis-vreeswijk
roskilde-festival-1980,tarwathy
roskilde-festival-1980,joan-armatrading
roskilde-festival-1980,cecilia
roskilde-festival-1980,triers-triste-trio
roskilde-festival-1980,thorstein-thomsen-per-wium
roskilde-festival-1980,thad-jones-eclipse
roskilde-festival-1980,poder-popular
roskilde-festival-1980,trille-m-band
roskilde-festival-1980,kaffetrioen
roskilde-festival-1980,jan-toftlund-martin-andersen
roskilde-festival-1980,henrik-strubes-flyvende-duo
roskilde-festival-1980,danner-rock
roskilde-festival-1980,gnags
roskilde-festival-1980,brecker-brother-band
roskilde-festival-1980,djurslandspillem-ndene
roskilde-festival-1980,shit-chanel
roskilde-festival-1980,sofamania
roskilde-festival-1980,paul-banks-j-rgen-lang
roskilde-festival-1980,lone-kellerman-rockbandet
roskilde-festival-1980,eric-anderson
roskilde-festival-1980,hannes-wader
roskilde-festival-1980,eldkvarn
roskilde-festival-1980,malurt
roskilde-festival-1980,dan-ar-bras
roskilde-festival-1980,de-gyldne-l-ver
roskilde-festival-1980,pia-raug
roskilde-festival-1980,anne-linnet-band
roskilde-festival-1980,piirpanke
roskilde-festival-1980,delta-cross-band
roskilde-festival-1980,jan-hammarlund
roskilde-festival-1980,kojo
roskilde-festival-1980,folk-rackare
roskilde-festival-1980,poul-dissing
roskilde-festival-1980,bazaar
roskilde-festival-1980,bollocks
roskilde-festival-1980,veslefrikk
roskilde-festival-1980,kr-n-bysted-s
roskilde-festival-1980,kriget
roskilde-festival-1980,nationalorkestern
roskilde-festival-1980,spillem-ndene
roskilde-festival-1980,bob-kerr-s-whoopee-band
roskilde-festival-1980,hot-chili
smukfest-1980,freche-bande
smukfest-1980,kurt
smukfest-1980,thunderbirds
smukfest-1980,cozie
smukfest-1980,luna
smukfest-1980,sabrock
smukfest-1980,spam-band
smukfest-1980,bocachio
roskilde-festival-1981,ub40
roskilde-festival-1981,robert-palmer
roskilde-festival-1981,toots-the-maytals
roskilde-festival-1981,tv-2
roskilde-festival-1981,bad-manners
roskilde-festival-1981,s-ndergaard-thanning-group
roskilde-festival-1981,s-w-80-malicorne
roskilde-festival-1981,nationalteaterns-rockorkester
roskilde-festival-1981,therm-nius
roskilde-festival-1981,bj-rn-afzelius-globetrotters
roskilde-festival-1981,stavangerensamblet
roskilde-festival-1981,benny-holst-arne-w-rgler
roskilde-festival-1981,erling-kroner-tentet
roskilde-festival-1981,ole-molin-trio
roskilde-festival-1981,ian-dury
roskilde-festival-1981,louises-venner
roskilde-festival-1981,lillebj-rn-nielsen-terje-venaas
roskilde-festival-1981,ann-cathrine-henning-larsen
roskilde-festival-1981,poul-dissing-benny-andersen-egon-aagaard-jens-jefsen
roskilde-festival-1981,basil-armstrong
roskilde-festival-1981,gnags
roskilde-festival-1981,poder-popular
roskilde-festival-1981,the-blockheads
roskilde-festival-1981,fischer-z
roskilde-festival-1981,kalinka
roskilde-festival-1981,rugsted-kreutzfeldt
